ReportDate,DataYM,CompanyCode,CompanyName,Industry,NowRevenue,LastMonthRevenue,LastYearSameMonthRevenue,MonthlyPercent,YearlyPercent,CumulativeNowRevenue,CumulativeLastYearRevenue,CumulativeChangePercent,Comment
1150117,11412,5306,桂盟,運動休閒,370480,330070,414186,12.24285758,-10.55226396,4685644,4984147,-5.989048878,-
1150117,11412,5388,中磊,通信網路業,6235041,4857218,5319155,28.36650527,17.21863717,53997004,56788762,-4.91603955,-
1150117,11412,5434,崇越,電子通路業,6479605,5740079,5450479,12.88355091,18.88138639,67583531,56997113,18.57360389,-
1150117,11412,5469,瀚宇博,電子零組件業,5283532,5020744,3426807,5.234044994,54.18236277,57226204,41632032,37.45714838,本公司之子公司精成科技自114年4月8日起新增合併子公司Lincstech，致使本月營收較去年同期增加。
1150117,11412,5471,松翰,半導體業,245096,223436,259327,9.694051093,-5.487666151,2675652,2744466,-2.507373019,-
1150117,11412,5484,慧友,光電業,60427,54462,10572,10.9525908,471.5758608,506246,460280,9.986529938,係因有接到代工訂單
1150117,11412,5515,建國,建材營造,666608,705141,935520,-5.464580843,-28.74465538,7095608,6120883,15.92458147,-
1150117,11412,5519,隆大,建材營造,363026,447345,856323,-18.84876326,-57.6064172,5521381,6251438,-11.67822507,"本期較去年同期減少,係去年同期認列J57案完工房地收入較多所致。"
1150117,11412,5521,工信,建材營造,838585,612559,731678,36.89864976,14.61120876,9038390,7099106,27.31729883,無
1150117,11412,5522,遠雄,建材營造,3773278,11163800,742895,-66.20077393,407.9153851,31153367,22399065,39.08333674,本月營收較去年同期增加，主要係交屋量較去年同期完工可交屋成屋量增加所致
1150117,11412,5525,順天,建材營造,1609829,305235,64331,427.4064246,2402.415632,2293357,4516267,-49.2200749,本月營收較去年同期增加，係因母公司ONE 33及緮華A、C區案完工交屋收入所致
1150117,11412,5531,鄉林,建材營造,38865,74883,2534380,-48.09903449,-98.46648885,1072641,4108112,-73.8896846,建設業之銷售進度及狀況深受景氣榮枯及市場現狀影響，且建築個案之完工時間並非固定時點，故月營收的表現上會有較大之波動。
1150117,11412,5533,皇鼎,建材營造,114182,57893,78081,97.22937143,46.23531973,1164507,2235793,-47.9152587,-
1150117,11412,5534,長虹,建材營造,2561889,2022994,3386362,26.63848731,-24.34686546,8489975,12070720,-29.6647176,本月營收較去年同期減少，主要係因本月過戶交屋數額較去年同期減少所致。
1150117,11412,5538,東明-KY,鋼鐵工業,1264396,1108904,1210755,14.02213357,4.430376088,12727628,12587800,1.110821589,-
1150117,11412,5546,永固-KY,建材營造,126283,118116,264241,6.914389244,-52.20915755,1949553,2795491,-30.26080213,本公司為控管風險，控管客戶品質，因此整體出貨量減少致12月營收衰退。
1150117,11412,5607,遠雄港,航運業,399792,370901,308560,7.789410112,29.567021,4143048,3464767,19.57652564,-
1150117,11412,5608,四維航,航運業,284642,283915,309394,0.256062554,-8.000155142,3183906,3492772,-8.843004926,-
1150117,11412,5706,鳳凰,觀光餐旅,148755,221496,150013,-32.84077365,-0.838593989,3141403,3137287,0.131196158,-
1150117,11412,5871,中租-KY,其他,8243288,7812067,8483228,5.519934737,-2.828404471,97567377,102291657,-4.61844117,-
1150117,11412,5876,上海商銀,金融保險業,4241629,4193375,5029013,1.150719886,-15.65682968,53742257,52478239,2.408651708,-
1150117,11412,5880,合庫金,金融保險業,6789683,6217725,5145338,9.198830762,31.95795884,73820926,65772381,12.23696767,-
1150117,11412,5906,台南-KY,貿易百貨,142206,176575,153412,-19.46425032,-7.304513337,1681725,1809168,-7.044287761,-
1150117,11412,5907,大洋-KY,貿易百貨,193840,237588,263381,-18.41338788,-26.40319537,2723486,3234918,-15.80973614,-
